INSTANCE,IP_OBJ
mcf2,65.6666667
mcsched,211913
mik-250-1-100-1,-66729
mine-166-5,-566395707.87083
mine-90-10,-784302337.633173
misc01,563.5
misc02,1690
misc03,3360
misc04,2666.699
misc05,2984.5
misc06,12850.86074
misc07,2810
mitre,115155
mkc,-563.846
mkc1,-607.15
mod008,307
mod010,6548
mod011,-54558500
mod013,280.95
modglob,20740508.09
momentum1,109143.4935
momentum2,12314.1
msc98-ip,19839497.0058743
mspp16,363
mzzv11,-21718
mzzv42z,-20540
n3-3,15915
n3div36,130800
n3seq24,52200
n4-3,8993
n9-3,14409
neos-1058477,0.55
neos-1109824,378
neos-1112782,572103000000
neos-1112787,565032000000
neos-1171448,-309
neos-1171692,-273
neos-1171737,-195
neos-1200887,-74
neos-1211578,-77
neos-1215259,68
neos-1224597,-428
neos-1225589,1231065191.85
neos-1228986,-123
neos-1281048,601
neos-1337307,-202319
neos-1337489,-77
neos-1367061,31320456.26
neos-1396125,3000.045337302
neos-1413153,105.12
neos-1415183,105.73
neos-1417043,31450000
neos-1420205,40
neos-1425699,3179698977
neos-1426635,-176
neos-1426662,-44
neos-1436709,-128
neos-1437164,8
neos-1440447,-100
neos-1440460,-179.25
neos-1441553,8
neos-1442119,-181
neos-1442657,-154.5
neos-1445532,-17041
neos-1460265,13400
neos-1480121,43
neos-1489999,354
neos-1516309,35954
neos-1582420,91
neos-1593097,23136
neos-1595230,9
neos-1597104,-30
neos-1599274,32075.6
neos-1601936,3
neos-1605061,12
neos-1605075,9
neos-1616732,159
neos-1620770,9
neos-1620807,6
neos-430149,56.6
neos-476283,406.363206984
neos-480878,492.51
neos-494568,-101
neos-501453,47454.61
neos-504674,3635.87
neos-504815,2296.22
neos-506428,583780
neos-512201,513.57
neos-520729,-1385000
neos-522351,17891.08
neos-525149,61
neos-530627,2995.2
neos-538867,122
neos-538916,134
neos-547911,13
neos-555298,1174300
neos-555424,1286800
neos-555694,18.4
neos-555771,18.6
neos-555927,690000
neos-565815,14
neos-570431,9
neos-583731,48
neos-584851,-11
neos-593853,1171462873
neos-598183,18429.98
neos-603073,16790.24
neos-611838,1763966.71
neos-612125,1844367.88
neos-612143,1795981.08
neos-612162,1772948.96
neos-631694,50
neos-631710,203
neos-655508,63015042
neos-686190,6730
neos-693347,234
neos-709469,493.16
neos-717614,12250247.91
neos-738098,-1099
neos-775946,15.7
neos-777800,-80
neos-780889,3421500
neos-787933,30
neos-791021,15
neos-796608,-48296500
neos-799711,-11170211.7336377
neos-799716,4932670.66
neos-801834,50386
neos-803219,210.3
neos-803220,195.4
neos-806323,215
neos-807639,454.2
neos-807705,342.4
neos-810286,2877
neos-810326,-44378
neos-820879,25468
neos-824661,33
neos-824695,31
neos-825075,-272
neos-826250,28
neos-826650,29
neos-826694,58
neos-826812,58.011
neos-826841,29.0082
neos-827175,112
neos-829552,2.32
neos-839859,9809653.22
neos-847302,4
neos-860300,3201
neos-862348,96.73
neos-880324,108.67
neos-885086,-243
neos-885524,12320.092
neos-886822,28755
neos-892255,14
neos-906865,3175
neos-911880,54.76
neos-941698,-14
neos-913984,1000
neos-916792,31.870398371
neos-932816,15376
neos-933638,276
neos-933966,318
neos-934278,260
neos-934531,6
neos-935627,2598
neos-935769,3010
neos-937511,3510
neos-941262,2791
neos-941313,9361
neos-941698,2
neos-942830,16
neos-948126,2607
neos-948268,60
neos-955215,446.5
neos-957270,0.5
neos-957323,-237.76
neos-957389,1.5
neos-984165,2188
neos10,-1135
neos11,9
neos12,13
neos13,-95.474806559
neos14,74333.34334
neos15,80598.430096861
neos16,446
neos17,0.150002577
neos18,16
neos2,454.864697
neos20,-434
neos3,368.842751
neos4,-48600000000
neos5,15
neos6,83
neos7,721934
neos8,-3719
net12,214
netdiversion,242
newdano,65.666666667
nobel-eu-DBE,608910
noswot,-41
npmv07,104810000000
ns1111636,162
ns1208400,2
ns1606230,21
ns1644855,-1524.333333333
ns1663818,86
ns1685374,-13
ns1688347,27
ns1696083,45
ns1758913,-1454.671755
ns1830653,20622
ns2017839,77030500000000
ns2081729,9
ns2122603,77700060
ns894244,15
ns894788,7
nsrand-ipx,51200
nu120-pr3,28130
nu60-pr9,24940
nw04,16862
ofi,6155380000
opm2-z10-s2,-33826
opm2-z11-s8,-43485
opm2-z12-s14,-64291
opm2-z12-s7,-65514
opm2-z7-s2,-10280
opt1217,-16
p0033,3089
p0040,62027
p0201,7615
p0282,258411
p0291,5223.749
p0548,8691
p100x588b,47878
p2756,3124
p6000,-2451377
p6b,-63
p80x400b,39667
pg,-8674.342607117
pg5_34,-14339.353446926
pigeon-10,-9000
pigeon-11,-10000
pigeon-12,-11000
pigeon-13,-12000
pigeon-19,-18000
pipex,788.263
pk1,11
pp08a,7350
pp08aCUTS,7350
probportfolio,16.734246764
prod1,-56
protfold,-31
pw-myciel4,10
qap10,340
qiu,-132.873136947
qnet1,16029.69268
qnet1_o,16029.69268
queens-30,-40
r80x800,5332
rail01,-70.5699643
rail02,-200.449907667
rail03,-867.093965444446
rail507,174
ran14x18,3712
ran14x18-disj-8,3712
ran16x16,3823
rd-rplusc-21,165395
reblock166,-600052000
reblock354,-39280521.2281657
reblock420,-517793000
reblock67,-34630648.4383316
rentacar,30356761
rgn,82.199999
rlp2,19
rmatr100-p10,423
rmatr100-p5,976
rmatr200-p10,2017
rmatr200-p20,837
rmatr200-p5,4521
rmine10,-1913.88062
rmine6,-457.18614
rocII-4-11,-6.652756
rococoB10-011000,19449
rococoC10-001000,11460
rococoC11-011100,20889
roll3000,12890
rout,1077.56
roy,3208.9568
sample2,375
satellites1-25,-5
satellites2-60,-19
satellites2-60-fs,-19
satellites3-40,-25
satellites3-40-fs,-25
sct32,-17.8875590846508
sentoy,-7772
set1al,15869.75
set1ch,54537.75
set1cl,6484.25
set3-10,185179.043049708
set3-15,124886
set3-20,159462.572721458
seymour,423
seymour-disj-10,287
shs1023,13136.636273
sp97ar,660705645.76
sp98ic,449144758.4
sp98ir,219676790.4
stein09,5
stein15,9
stein27,18
stein45,30
stein09_nocard,5
stein15_nocard,9
stein27_nocard,18
stein45_nocard,30
stp3d,493.71965
swath,467.407491
tanglegram1,5182
tanglegram2,443
Test3,2673663.265
timtab1,764772
timtab2,1096557
toll-like,610
tr12-30,130596
transportmoment,-3063103721.717
triptim1,22.8681
triptim2,12.0051
triptim3,13.5311
tw-myciel4,10
uc-case3,7204.918769
uct-subprob,314
umts,30090328
unitcal_7,19635558.2440195
usAbbrv-8-25_70,120
vpm1,20
vpm2,13.75
vpphard,5
vpphard2,81
wachplan,-8
wnq-n100-mw99-14,259
zib54-UUE,10334015.82

22433_cleaned,21477
23588_cleaned,8090
10teams_cleaned,924
30_70_45_095_100_cleaned,3
30n20b8_cleaned,302
50v-10_cleaned,3311.179984123
a1c1s1_cleaned,11503.444125
aflow30a_cleaned,1158
aflow40b_cleaned,1168
air01_cleaned,6796
air02_cleaned,7810
air03_cleaned,340160
air04_cleaned,56137
air05_cleaned,26374
air06_cleaned,49649
aligninq_cleaned,2713
app1-2_cleaned,-41
arki001_cleaned,7580813.046
atlanta-ip_cleaned,90.009878614
atm20-100_cleaned,2463621.57727541
b2c1s1_cleaned,25687.9
bab5_cleaned,-106411.8401
bc1_cleaned,3.338362548
beasleyC3_cleaned,754
bell3a_cleaned,878430.316
bell3b_cleaned,11786160.618
bell4_cleaned,18541484.238
bell5_cleaned,8966406.492
berlin_5_8_0_cleaned,62
bg512142_cleaned,184202.75
biella1_cleaned,3065005.78
bienst1_cleaned,46.75
bienst2_cleaned,54.6
binkar10_1_cleaned,6742.200024
blend2_cleaned,7.598985
bley_xl1_cleaned,190
blp-ar98_cleaned,6205.2147104
blp-ic97_cleaned,4025.0235808
bm23_cleaned,34
bnatt400_cleaned,1
buildingenergy_cleaned,33283.853236
cap6000_cleaned,-2451380
co-100_cleaned,2639942.06
core2536-691_cleaned,689
cov1075_cleaned,20
csched007_cleaned,351
csched008_cleaned,173
csched010_cleaned,408
d10200_cleaned,12430
dano3_3_cleaned,576.344633
dano3_4_cleaned,576.4352247
dano3_5_cleaned,576.924916
danoint_cleaned,65.666666667
dc1c_cleaned,1767903.6501
dcmulti_cleaned,188182
dfn-gwin-UUM_cleaned,38752
dg012142_cleaned,2300867
disctom_cleaned,-5000
dolom1_cleaned,6609253
ds_cleaned,93.52
egout_cleaned,568.1007
eil33-2_cleaned,934.007916
eilA101-2_cleaned,880.920108
eilB101_cleaned,1216.920174
eild76_cleaned,885.411847
enlight13_cleaned,71
enlight15_cleaned,69
ex10_cleaned,100
ex9_cleaned,81
fast0507_cleaned,174
fiber_cleaned,405935.18
fixnet3_cleaned,51973
fixnet4_cleaned,8936
fixnet6_cleaned,3983
flugpl_cleaned,1201500
g200x740i_cleaned,30086
gen_cleaned,112313.3627
germanrr_cleaned,47095869.649
germany50-DBM_cleaned,473840
gesa2_cleaned,25779856.4
gesa2_o_cleaned,25779856.372
gesa2-o_cleaned,25779856.4
gesa3_cleaned,27991042.648
gesa3_o_cleaned,27991042.648
glass4_cleaned,1200012600
gmu-35-40_cleaned,-2406733.3688
gmu-35-50_cleaned,-2607958.33
go19_cleaned,84
gt2_cleaned,21166
hanoi5_cleaned,1931
harp2_cleaned,-73899800
ic97_potential_cleaned,3942
iis-100-0-cov_cleaned,29
iis-bupa-cov_cleaned,36
iis-pima-cov_cleaned,33
in_cleaned,58
irp_cleaned,12159.492865
ivu52_cleaned,481.0068
janos-us-DDM_cleaned,1492707
k16x240_cleaned,10674
khb05250_cleaned,106940226
l152lav_cleaned,4722
lectsched-4-obj_cleaned,4
leo1_cleaned,404227536.16
leo2_cleaned,404077441.12
lotsize_cleaned,1480195
lp4l_cleaned,2967
lrn_cleaned,44900000
lseu_cleaned,1120
macrophage_cleaned,374
manna81_cleaned,-13164
map06_cleaned,-289
map10_cleaned,-495
map14_cleaned,-674
map18_cleaned,-847
map20_cleaned,-922
markshare_5_0_cleaned,1
markshare1_cleaned,1
markshare2_cleaned,1
mas074_cleaned,11801.1857
mas076_cleaned,40005.0541
mas284_cleaned,91405.723682
maxgasflow_cleaned,-44565819.31886
mc11_cleaned,11689
mcf2_cleaned,65.6666667
mcsched_cleaned,211913
mik-250-1-100-1_cleaned,-66729
mine-166-5_cleaned,-566395707.87083
mine-90-10_cleaned,-784302337.633173
misc01_cleaned,563.5
misc02_cleaned,1690
misc03_cleaned,3360
misc04_cleaned,2666.699
misc05_cleaned,2984.5
misc06_cleaned,12850.86074
misc07_cleaned,2810
mitre_cleaned,115155
mkc_cleaned,-563.846
mkc1_cleaned,-607.15
mod008_cleaned,307
mod010_cleaned,6548
mod011_cleaned,-54558500
mod013_cleaned,280.95
modglob_cleaned,20740508.09
momentum1_cleaned,109143.4935
momentum2_cleaned,12314.1
msc98-ip_cleaned,19839497.0058743
mspp16_cleaned,363
mzzv11_cleaned,-21718
mzzv42z_cleaned,-20540
n3-3_cleaned,15915
n3div36_cleaned,130800
n3seq24_cleaned,52200
n4-3_cleaned,8993
n9-3_cleaned,14409
neos-1058477_cleaned,0.55
neos-1109824_cleaned,378
neos-1112782_cleaned,572103000000
neos-1112787_cleaned,565032000000
neos-1171448_cleaned,-309
neos-1171692_cleaned,-273
neos-1171737_cleaned,-195
neos-1200887_cleaned,-74
neos-1211578_cleaned,-77
neos-1215259_cleaned,68
neos-1224597_cleaned,-428
neos-1225589_cleaned,1231065191.85
neos-1228986_cleaned,-123
neos-1281048_cleaned,601
neos-1337307_cleaned,-202319
neos-1337489_cleaned,-77
neos-1367061_cleaned,31320456.26
neos-1396125_cleaned,3000.045337302
neos-1413153_cleaned,105.12
neos-1415183_cleaned,105.73
neos-1417043_cleaned,31450000
neos-1420205_cleaned,40
neos-1425699_cleaned,3179698977
neos-1426635_cleaned,-176
neos-1426662_cleaned,-44
neos-1436709_cleaned,-128
neos-1437164_cleaned,8
neos-1440447_cleaned,-100
neos-1440460_cleaned,-179.25
neos-1441553_cleaned,8
neos-1442119_cleaned,-181
neos-1442657_cleaned,-154.5
neos-1445532_cleaned,-17041
neos-1460265_cleaned,13400
neos-1480121_cleaned,43
neos-1489999_cleaned,354
neos-1516309_cleaned,35954
neos-1582420_cleaned,91
neos-1593097_cleaned,23136
neos-1595230_cleaned,9
neos-1597104_cleaned,-30
neos-1599274_cleaned,32075.6
neos-1601936_cleaned,3
neos-1605061_cleaned,12
neos-1605075_cleaned,9
neos-1616732_cleaned,159
neos-1620770_cleaned,9
neos-1620807_cleaned,6
neos-430149_cleaned,56.6
neos-476283_cleaned,406.363206984
neos-480878_cleaned,492.51
neos-494568_cleaned,-101
neos-501453_cleaned,47454.61
neos-504674_cleaned,3635.87
neos-504815_cleaned,2296.22
neos-506428_cleaned,583780
neos-512201_cleaned,513.57
neos-520729_cleaned,-1385000
neos-522351_cleaned,17891.08
neos-525149_cleaned,61
neos-530627_cleaned,2995.2
neos-538867_cleaned,122
neos-538916_cleaned,134
neos-547911_cleaned,13
neos-555298_cleaned,1174300
neos-555424_cleaned,1286800
neos-555694_cleaned,18.4
neos-555771_cleaned,18.6
neos-555927_cleaned,690000
neos-565815_cleaned,14
neos-570431_cleaned,9
neos-583731_cleaned,48
neos-584851_cleaned,-11
neos-593853_cleaned,1171462873
neos-598183_cleaned,18429.98
neos-603073_cleaned,16790.24
neos-611838_cleaned,1763966.71
neos-612125_cleaned,1844367.88
neos-612143_cleaned,1795981.08
neos-612162_cleaned,1772948.96
neos-631694_cleaned,50
neos-631710_cleaned,203
neos-655508_cleaned,63015042
neos-686190_cleaned,6730
neos-693347_cleaned,234
neos-709469_cleaned,493.16
neos-717614_cleaned,12250247.91
neos-738098_cleaned,-1099
neos-775946_cleaned,15.7
neos-777800_cleaned,-80
neos-780889_cleaned,3421500
neos-787933_cleaned,30
neos-791021_cleaned,15
neos-796608_cleaned,-48296500
neos-799711_cleaned,-11170211.7336377
neos-799716_cleaned,4932670.66
neos-801834_cleaned,50386
neos-803219_cleaned,210.3
neos-803220_cleaned,195.4
neos-806323_cleaned,215
neos-807639_cleaned,454.2
neos-807705_cleaned,342.4
neos-810286_cleaned,2877
neos-810326_cleaned,-44378
neos-820879_cleaned,25468
neos-824661_cleaned,33
neos-824695_cleaned,31
neos-825075_cleaned,-272
neos-826250_cleaned,28
neos-826650_cleaned,29
neos-826694_cleaned,58
neos-826812_cleaned,58.011
neos-826841_cleaned,29.0082
neos-827175_cleaned,112
neos-829552_cleaned,2.32
neos-839859_cleaned,9809653.22
neos-847302_cleaned,4
neos-860300_cleaned,3201
neos-862348_cleaned,96.73
neos-880324_cleaned,108.67
neos-885086_cleaned,-243
neos-885524_cleaned,12320.092
neos-886822_cleaned,28755
neos-892255_cleaned,14
neos-906865_cleaned,3175
neos-911880_cleaned,54.76
neos-941698_cleaned,-14
neos-913984_cleaned,1000
neos-916792_cleaned,31.870398371
neos-932816_cleaned,15376
neos-933638_cleaned,276
neos-933966_cleaned,318
neos-934278_cleaned,260
neos-934531_cleaned,6
neos-935627_cleaned,2598
neos-935769_cleaned,3010
neos-937511_cleaned,3510
neos-941262_cleaned,2791
neos-941313_cleaned,9361
neos-941698_cleaned,2
neos-942830_cleaned,16
neos-948126_cleaned,2607
neos-948268_cleaned,60
neos-955215_cleaned,446.5
neos-957270_cleaned,0.5
neos-957323_cleaned,-237.76
neos-957389_cleaned,1.5
neos-984165_cleaned,2188
neos10_cleaned,-1135
neos11_cleaned,9
neos12_cleaned,13
neos13_cleaned,-95.474806559
neos14_cleaned,74333.34334
neos15_cleaned,80598.430096861
neos16_cleaned,446
neos17_cleaned,0.150002577
neos18_cleaned,16
neos2_cleaned,454.864697
neos20_cleaned,-434
neos3_cleaned,368.842751
neos4_cleaned,-48600000000
neos5_cleaned,15
neos6_cleaned,83
neos7_cleaned,721934
neos8_cleaned,-3719
net12_cleaned,214
netdiversion_cleaned,242
newdano_cleaned,65.666666667
nobel-eu-DBE_cleaned,608910
noswot_cleaned,-41
npmv07_cleaned,104810000000
ns1111636_cleaned,162
ns1208400_cleaned,2
ns1606230_cleaned,21
ns1644855_cleaned,-1524.333333333
ns1663818_cleaned,86
ns1685374_cleaned,-13
ns1688347_cleaned,27
ns1696083_cleaned,45
ns1758913_cleaned,-1454.671755
ns1830653_cleaned,20622
ns2017839_cleaned,77030500000000
ns2081729_cleaned,9
ns2122603_cleaned,77700060
ns894244_cleaned,15
ns894788_cleaned,7
nsrand-ipx_cleaned,51200
nu120-pr3_cleaned,28130
nu60-pr9_cleaned,24940
nw04_cleaned,16862
ofi_cleaned,6155380000
opm2-z10-s2_cleaned,-33826
opm2-z11-s8_cleaned,-43485
opm2-z12-s14_cleaned,-64291
opm2-z12-s7_cleaned,-65514
opm2-z7-s2_cleaned,-10280
opt1217_cleaned,-16
p0033_cleaned,3089
p0040_cleaned,62027
p0201_cleaned,7615
p0282_cleaned,258411
p0291_cleaned,5223.749
p0548_cleaned,8691
p100x588b_cleaned,47878
p2756_cleaned,3124
p6000_cleaned,-2451377
p6b_cleaned,-63
p80x400b_cleaned,39667
pg_cleaned,-8674.342607117
pg5_34_cleaned,-14339.353446926
pigeon-10_cleaned,-9000
pigeon-11_cleaned,-10000
pigeon-12_cleaned,-11000
pigeon-13_cleaned,-12000
pigeon-19_cleaned,-18000
pipex_cleaned,788.263
pk1_cleaned,11
pp08a_cleaned,7350
pp08aCUTS_cleaned,7350
probportfolio_cleaned,16.734246764
prod1_cleaned,-56
protfold_cleaned,-31
pw-myciel4_cleaned,10
qap10_cleaned,340
qiu_cleaned,-132.873136947
qnet1_cleaned,16029.69268
qnet1_o_cleaned,16029.69268
queens-30_cleaned,-40
r80x800_cleaned,5332
rail01_cleaned,-70.5699643
rail02_cleaned,-200.449907667
rail03_cleaned,-867.093965444446
rail507_cleaned,174
ran14x18_cleaned,3712
ran14x18-disj-8_cleaned,3712
ran16x16_cleaned,3823
rd-rplusc-21_cleaned,165395
reblock166_cleaned,-600052000
reblock354_cleaned,-39280521.2281657
reblock420_cleaned,-517793000
reblock67_cleaned,-34630648.4383316
rentacar_cleaned,30356761
rgn_cleaned,82.199999
rlp2_cleaned,19
rmatr100-p10_cleaned,423
rmatr100-p5_cleaned,976
rmatr200-p10_cleaned,2017
rmatr200-p20_cleaned,837
rmatr200-p5_cleaned,4521
rmine10_cleaned,-1913.88062
rmine6_cleaned,-457.18614
rocII-4-11_cleaned,-6.652756
rococoB10-011000_cleaned,19449
rococoC10-001000_cleaned,11460
rococoC11-011100_cleaned,20889
roll3000_cleaned,12890
rout_cleaned,1077.56
roy_cleaned,3208.9568
sample2_cleaned,375
satellites1-25_cleaned,-5
satellites2-60_cleaned,-19
satellites2-60-fs_cleaned,-19
satellites3-40_cleaned,-25
satellites3-40-fs_cleaned,-25
sct32_cleaned,-17.8875590846508
sentoy_cleaned,-7772
set1al_cleaned,15869.75
set1ch_cleaned,54537.75
set1cl_cleaned,6484.25
set3-10_cleaned,185179.043049708
set3-15_cleaned,124886
set3-20_cleaned,159462.572721458
seymour_cleaned,423
seymour-disj-10_cleaned,287
shs1023_cleaned,13136.636273
sp97ar_cleaned,660705645.76
sp98ic_cleaned,449144758.4
sp98ir_cleaned,219676790.4
stein09_cleaned,5
stein15_cleaned,9
stein27_cleaned,18
stein45_cleaned,30
stein09_nocard_cleaned,5
stein15_nocard_cleaned,9
stein27_nocard_cleaned,18
stein45_nocard_cleaned,30
stp3d_cleaned,493.71965
swath_cleaned,467.407491
tanglegram1_cleaned,5182
tanglegram2_cleaned,443
Test3,2673663.265
timtab1_cleaned,764772
timtab2_cleaned,1096557
toll-like_cleaned,610
tr12-30_cleaned,130596
transportmoment_cleaned,-3063103721.717
triptim1_cleaned,22.8681
triptim2_cleaned,12.0051
triptim3_cleaned,13.5311
tw-myciel4_cleaned,10
uc-case3_cleaned,7204.918769
uct-subprob_cleaned,314
umts_cleaned,30090328
unitcal_7_cleaned,19635558.2440195
usAbbrv-8-25_70_cleaned,120
vpm1_cleaned,20
vpm2_cleaned,13.75
vpphard_cleaned,5
vpphard2_cleaned,81
wachplan_cleaned,-8
wnq-n100-mw99-14_cleaned,259
zib54-UUE_cleaned,10334015.82

22433_presolved,21477
23588_presolved,8090
10teams_presolved,924
30_70_45_095_100_presolved,3
30n20b8_presolved,302
50v-10_presolved,3311.179984123
a1c1s1_presolved,11503.444125
aflow30a_presolved,1158
aflow40b_presolved,1168
air01_presolved,6796
air02_presolved,7810
air03_presolved,340160
air04_presolved,56137
air05_presolved,26374
air06_presolved,49649
aligninq_presolved,2713
app1-2_presolved,-41
arki001_presolved,7580813.046
atlanta-ip_presolved,90.009878614
atm20-100_presolved,2463621.57727541
b2c1s1_presolved,25687.9
bab5_presolved,-106411.8401
bc1_presolved,3.338362548
beasleyC3_presolved,754
bell3a_presolved,878430.316
bell3b_presolved,11786160.618
bell4_presolved,18541484.238
bell5_presolved,8966406.492
berlin_5_8_0_presolved,62
bg512142_presolved,184202.75
biella1_presolved,3065005.78
bienst1_presolved,46.75
bienst2_presolved,54.6
binkar10_1_presolved,6742.200024
blend2_presolved,7.598985
bley_xl1_presolved,190
blp-ar98_presolved,6205.2147104
blp-ic97_presolved,4025.0235808
bm23_presolved,34
bnatt400_presolved,1
buildingenergy_presolved,33283.853236
cap6000_presolved,-2451380
co-100_presolved,2639942.06
core2536-691_presolved,689
cov1075_presolved,20
csched007_presolved,351
csched008_presolved,173
csched010_presolved,408
d10200_presolved,12430
dano3_3_presolved,576.344633
dano3_4_presolved,576.4352247
dano3_5_presolved,576.924916
danoint_presolved,65.666666667
dc1c_presolved,1767903.6501
dcmulti_presolved,188182
dfn-gwin-UUM_presolved,38752
dg012142_presolved,2300867
disctom_presolved,-5000
dolom1_presolved,6609253
ds_presolved,93.52
egout_presolved,568.1007
eil33-2_presolved,934.007916
eilA101-2_presolved,880.920108
eilB101_presolved,1216.920174
eild76_presolved,885.411847
enlight13_presolved,71
enlight15_presolved,69
ex10_presolved,100
ex9_presolved,81
fast0507_presolved,174
fiber_presolved,405935.18
fixnet3_presolved,51973
fixnet4_presolved,8936
fixnet6_presolved,3983
flugpl_presolved,1201500
g200x740i_presolved,30086
gen_presolved,112313.3627
germanrr_presolved,47095869.649
germany50-DBM_presolved,473840
gesa2_presolved,25779856.4
gesa2_o_presolved,25779856.372
gesa2-o_presolved,25779856.4
gesa3_presolved,27991042.648
gesa3_o_presolved,27991042.648
glass4_presolved,1200012600
gmu-35-40_presolved,-2406733.3688
gmu-35-50_presolved,-2607958.33
go19_presolved,84
gt2_presolved,21166
hanoi5_presolved,1931
harp2_presolved,-73899800
ic97_potential_presolved,3942
iis-100-0-cov_presolved,29
iis-bupa-cov_presolved,36
iis-pima-cov_presolved,33
in_presolved,58
irp_presolved,12159.492865
ivu52_presolved,481.0068
janos-us-DDM_presolved,1492707
k16x240_presolved,10674
khb05250_presolved,106940226
l152lav_presolved,4722
lectsched-4-obj_presolved,4
leo1_presolved,404227536.16
leo2_presolved,404077441.12
lotsize_presolved,1480195
lp4l_presolved,2967
lrn_presolved,44900000
lseu_presolved,1120
macrophage_presolved,374
manna81_presolved,-13164
map06_presolved,-289
map10_presolved,-495
map14_presolved,-674
map18_presolved,-847
map20_presolved,-922
markshare_5_0_presolved,1
markshare1_presolved,1
markshare2_presolved,1
mas074_presolved,11801.1857
mas076_presolved,40005.0541
mas284_presolved,91405.723682
maxgasflow_presolved,-44565819.31886
mc11_presolved,11689
mcf2_presolved,65.6666667
mcsched_presolved,211913
mik-250-1-100-1_presolved,-66729
mine-166-5_presolved,-566395707.87083
mine-90-10_presolved,-784302337.633173
misc01_presolved,563.5
misc02_presolved,1690
misc03_presolved,3360
misc04_presolved,2666.699
misc05_presolved,2984.5
misc06_presolved,12850.86074
misc07_presolved,2810
mitre_presolved,115155
mkc_presolved,-563.846
mkc1_presolved,-607.15
mod008_presolved,307
mod010_presolved,6548
mod011_presolved,-54558500
mod013_presolved,280.95
modglob_presolved,20740508.09
momentum1_presolved,109143.4935
momentum2_presolved,12314.1
msc98-ip_presolved,19839497.0058743
mspp16_presolved,363
mzzv11_presolved,-21718
mzzv42z_presolved,-20540
n3-3_presolved,15915
n3div36_presolved,130800
n3seq24_presolved,52200
n4-3_presolved,8993
n9-3_presolved,14409
neos-1058477_presolved,0.55
neos-1109824_presolved,378
neos-1112782_presolved,572103000000
neos-1112787_presolved,565032000000
neos-1171448_presolved,-309
neos-1171692_presolved,-273
neos-1171737_presolved,-195
neos-1200887_presolved,-74
neos-1211578_presolved,-77
neos-1215259_presolved,68
neos-1224597_presolved,-428
neos-1225589_presolved,1231065191.85
neos-1228986_presolved,-123
neos-1281048_presolved,601
neos-1337307_presolved,-202319
neos-1337489_presolved,-77
neos-1367061_presolved,31320456.26
neos-1396125_presolved,3000.045337302
neos-1413153_presolved,105.12
neos-1415183_presolved,105.73
neos-1417043_presolved,31450000
neos-1420205_presolved,40
neos-1425699_presolved,3179698977
neos-1426635_presolved,-176
neos-1426662_presolved,-44
neos-1436709_presolved,-128
neos-1437164_presolved,8
neos-1440447_presolved,-100
neos-1440460_presolved,-179.25
neos-1441553_presolved,8
neos-1442119_presolved,-181
neos-1442657_presolved,-154.5
neos-1445532_presolved,-17041
neos-1460265_presolved,13400
neos-1480121_presolved,43
neos-1489999_presolved,354
neos-1516309_presolved,35954
neos-1582420_presolved,91
neos-1593097_presolved,23136
neos-1595230_presolved,9
